"Date","Price","Open","High","Low","Vol.","Change %"
"10/25/2022","84.70","84.85","85.00","84.45","","0.14%"
"10/24/2022","84.58","85.24","85.92","82.63","250.73K","-0.91%"
"10/23/2022","85.36","85.14","85.62","85.10","","0.36%"
"10/21/2022","85.05","85.07","85.90","83.15","272.80K","-1.08%"
"10/20/2022","85.98","85.94","88.17","85.22","18.18K","0.50%"
"10/19/2022","85.55","83.69","86.20","82.59","71.31K","3.30%"
"10/18/2022","82.82","85.70","86.51","82.09","97.30K","-3.09%"
"10/17/2022","85.46","85.59","87.12","84.61","172.02K","-0.18%"
"10/14/2022","85.61","89.27","89.73","85.20","237.03K","-2.66%"
"10/13/2022","87.95","86.01","88.38","84.43","185.66K","2.20%"
"10/12/2022","86.06","87.25","88.66","85.05","211.34K","-2.17%"
"10/11/2022","87.97","89.75","90.15","86.59","187.52K","-2.08%"
"10/10/2022","89.84","92.23","92.34","89.29","156.09K","-1.65%"
"10/07/2022","91.35","88.12","92.00","87.15","242.27K","4.29%"
"10/06/2022","87.59","87.12","88.20","86.15","108.49K","0.86%"
"10/05/2022","86.84","85.30","87.42","84.53","160.03K","1.57%"
"10/04/2022","85.50","82.57","85.98","82.33","156.00K","3.39%"
"10/03/2022","82.70","80.29","83.61","80.19","135.99K","5.06%"
"09/30/2022","78.72","80.86","81.72","78.36","95.34K","-2.11%"
"09/29/2022","80.42","81.00","81.99","79.45","127.46K","-1.01%"
"09/28/2022","81.24","77.38","81.40","75.84","156.31K","4.41%"
"09/27/2022","77.81","75.90","78.92","75.88","123.82K","2.14%"
"09/26/2022","76.18","78.75","79.76","75.70","106.23K","-2.65%"
"09/23/2022","78.25","83.15","83.45","77.64","143.23K","-5.76%"
"09/22/2022","83.03","82.54","85.44","81.89","121.08K","0.73%"
"09/21/2022","82.43","83.60","85.99","82.00","144.13K","-1.02%"
"09/20/2022","83.28","84.33","85.45","82.40","106.27K","-1.57%"
"09/19/2022","84.61","84.07","85.16","81.10","91.59K","0.64%"
"09/16/2022","84.07","83.93","85.39","83.19","93.63K","0.20%"
"09/15/2022","83.90","87.65","87.99","83.41","107.46K","-3.96%"
"09/14/2022","87.36","86.75","88.83","85.10","131.56K","1.29%"
"09/13/2022","86.25","87.10","88.26","84.10","128.54K","-0.70%"
"09/12/2022","86.86","85.26","87.95","84.22","100.63K","1.29%"
"09/09/2022","85.75","81.64","86.00","81.64","95.74K","3.99%"
"09/08/2022","82.46","81.11","83.13","80.48","112.61K","1.49%"
"09/07/2022","81.25","86.10","86.80","80.79","139.58K","-5.56%"
"09/06/2022","86.03","85.97","89.35","85.41","119.46K","-3.29%"
"09/05/2022","88.96","88.27","90.37","87.98","","0.80%"
"09/04/2022","88.25","86.91","88.28","86.91","","2.74%"
"09/02/2022","85.90","85.37","88.42","85.32","91.44K","0.28%"
"09/01/2022","85.66","87.71","88.37","85.07","105.50K","-3.00%"
"08/31/2022","88.31","91.21","91.55","87.40","113.90K","-2.38%"
"08/30/2022","90.46","94.87","95.55","89.38","136.39K","-4.81%"
"08/29/2022","95.03","91.47","95.23","90.79","86.03K","3.80%"
"08/26/2022","91.55","92.03","92.90","90.00","96.51K","-0.03%"
"08/25/2022","91.58","94.17","94.60","91.34","99.37K","-2.21%"
"08/24/2022","93.65","92.55","94.19","91.71","112.50K","1.21%"
"08/23/2022","92.53","89.74","92.87","89.50","104.56K","3.44%"
"08/22/2022","89.45","88.75","90.17","85.74","111.18K","-0.18%"
"08/19/2022","89.61","88.99","90.60","86.98","75.78K","0.59%"
"08/18/2022","89.08","86.22","89.93","86.15","90.92K","2.58%"
"08/17/2022","86.84","86.05","87.79","84.86","68.04K","1.59%"
"08/16/2022","85.48","86.57","88.94","84.75","105.79K","-2.75%"
"08/15/2022","87.90","90.09","90.15","85.35","79.45K","-2.51%"
"08/12/2022","90.16","91.65","92.32","89.25","77.23K","-1.78%"
"08/11/2022","91.79","89.26","92.40","89.18","119.11K","2.35%"
"08/10/2022","89.68","88.28","90.03","85.77","106.00K","1.82%"
"08/09/2022","88.08","88.17","90.17","86.80","99.78K","-0.32%"
"08/08/2022","88.36","86.00","88.47","84.86","73.94K","2.28%"
"08/05/2022","86.39","85.58","87.88","84.47","83.41K","0.47%"
"08/04/2022","85.99","88.55","89.35","85.14","83.66K","-2.64%"
"08/03/2022","88.32","90.65","93.28","88.08","111.62K","-3.30%"
"08/02/2022","91.33","90.19","92.87","89.05","86.32K","1.15%"
"08/01/2022","90.29","93.75","93.83","88.66","122.11K","-3.81%"
"07/29/2022","93.87","92.68","96.15","91.82","98.75K","2.13%"
"07/28/2022","91.91","93.04","94.69","91.40","82.50K","-0.47%"
"07/27/2022","92.34","90.21","93.44","89.36","82.29K","2.78%"
"07/26/2022","89.84","90.28","92.90","89.46","79.30K","-1.16%"
"07/25/2022","90.89","89.21","91.07","87.52","80.84K","2.20%"
"07/22/2022","88.93","89.89","91.15","88.20","87.91K","-1.13%"
"07/21/2022","89.95","92.26","92.33","87.87","92.20K","-2.67%"
"07/20/2022","92.42","92.14","92.83","90.59","86.07K","-0.01%"
"07/19/2022","92.43","90.90","92.69","89.15","82.80K","0.88%"
"07/18/2022","91.62","87.40","92.08","86.06","85.32K","4.79%"
"07/15/2022","87.43","86.67","88.86","85.13","69.42K","1.46%"
"07/14/2022","86.17","87.61","88.06","82.77","97.39K","-1.57%"
"07/13/2022","87.54","86.48","88.56","84.89","72.13K","1.03%"
"07/12/2022","86.65","92.70","92.75","86.15","92.79K","-7.24%"
"07/11/2022","93.41","93.28","93.71","90.08","58.80K","0.14%"
"07/08/2022","93.28","90.70","93.58","90.24","61.59K","2.62%"
"07/07/2022","90.90","86.63","91.98","85.36","87.81K","4.31%"
"07/06/2022","87.14","89.65","90.76","84.54","122.17K","-1.49%"
"07/05/2022","88.46","97.41","99.79","86.92","161.59K","-19.87%"
"07/04/2022","110.40","108.17","110.77","107.25","","2.04%"
"07/03/2022","108.19","108.67","108.81","108.14","","11.19%"
"07/01/2022","97.30","95.69","98.07","94.46","70.52K","1.82%"
"06/30/2022","95.56","99.39","100.23","95.34","83.89K","-3.75%"
"06/29/2022","99.28","101.17","102.93","98.84","63.03K","-1.88%"
"06/28/2022","101.18","98.92","101.58","98.59","57.51K","2.78%"
"06/27/2022","98.44","96.22","99.18","95.02","52.15K","1.66%"
"06/24/2022","96.83","94.51","97.98","93.88","74.92K","1.96%"
"06/23/2022","94.97","96.90","98.35","94.43","87.25K","-3.24%"
"06/22/2022","98.15","101.28","101.28","94.51","102.79K","-2.89%"
"06/21/2022","101.07","100.02","102.50","98.84","76.09K","-7.14%"
"06/20/2022","108.84","108.97","109.17","106.84","","-0.09%"
"06/19/2022","108.94","108.97","109.34","108.78","","9.20%"
"06/17/2022","99.76","105.32","106.77","98.69","103.89K","-5.92%"
"06/16/2022","106.04","104.79","106.39","102.47","93.61K","1.66%"
"06/15/2022","104.31","106.58","106.90","103.64","77.64K","-1.93%"
"06/14/2022","106.36","108.30","109.97","104.85","82.95K","-1.61%"
"06/13/2022","108.10","107.65","109.25","105.14","71.81K","-0.11%"
"06/10/2022","108.22","109.38","110.00","106.25","74.73K","-1.18%"
"06/09/2022","109.51","110.34","110.74","109.03","50.92K","-0.40%"
"06/08/2022","109.95","107.89","110.78","107.57","60.40K","2.20%"
"06/07/2022","107.58","106.73","108.27","105.86","66.74K","1.57%"
"06/06/2022","105.92","106.75","107.58","105.35","46.04K","0.01%"
"06/03/2022","105.91","104.62","107.19","102.93","40.17K","1.63%"
"06/02/2022","104.21","102.39","104.81","99.96","75.96K","1.45%"
"06/01/2022","102.72","102.50","103.91","101.71","64.46K","1.28%"
"05/31/2022","101.42","102.05","105.62","100.89","89.18K","-13.77%"
"05/30/2022","117.61","115.58","117.79","115.39","","1.73%"
"05/29/2022","115.61","115.30","115.81","115.20","","13.29%"
"05/27/2022","102.05","101.46","102.13","100.04","38.87K","0.83%"
"05/26/2022","101.21","98.85","101.66","98.19","57.92K","2.69%"
"05/25/2022","98.56","98.40","99.08","97.79","34.26K","0.72%"
"05/24/2022","97.86","97.67","98.99","96.26","46.40K","0.17%"
"05/23/2022","97.69","96.87","98.03","96.15","39.30K","1.02%"
"05/20/2022","96.70","95.99","97.25","95.38","37.65K","-0.01%"
"05/19/2022","96.71","94.59","96.86","92.39","74.95K","2.36%"
"05/18/2022","94.48","97.56","98.78","93.81","76.33K","-2.82%"
"05/17/2022","97.22","98.94","99.99","96.62","60.45K","-1.79%"
"05/16/2022","98.99","97.99","99.64","95.90","59.01K","1.17%"
"05/13/2022","97.85","95.71","97.90","95.34","45.89K","2.79%"
"05/12/2022","95.19","95.49","95.98","92.92","61.70K","-0.22%"
"05/11/2022","95.40","90.50","95.68","89.90","69.31K","4.89%"
"05/10/2022","90.95","93.68","94.34","90.62","75.40K","-2.76%"
"05/09/2022","93.53","99.40","99.40","92.87","74.04K","-5.27%"
"05/06/2022","98.73","97.41","99.35","96.28","66.40K","1.46%"
"05/05/2022","97.31","96.77","99.66","95.86","67.83K","0.28%"
"05/04/2022","97.04","93.59","97.56","93.14","55.74K","4.68%"
"05/03/2022","92.70","93.95","94.58","92.28","44.97K","-1.32%"
"05/02/2022","93.94","92.61","94.74","90.71","54.23K","0.65%"
"04/29/2022","93.33","93.80","95.71","92.81","54.16K","-0.87%"
"04/28/2022","94.15","92.92","94.41","91.44","62.63K","1.12%"
"04/27/2022","93.11","93.10","93.70","91.57","41.09K","0.24%"
"04/26/2022","92.89","91.22","93.85","90.45","50.20K","1.94%"
"04/25/2022","91.12","92.85","92.98","88.70","54.49K","-2.73%"
"04/22/2022","93.68","95.79","95.97","92.65","33.49K","-2.30%"
"04/21/2022","95.89","94.80","96.99","94.41","40.87K","1.48%"
"04/20/2022","94.49","94.38","95.68","93.17","49.13K","0.62%"
"04/19/2022","93.91","97.82","98.66","93.60","60.06K","-4.59%"
"04/18/2022","98.43","97.71","99.61","96.97","33.93K","0.14%"
"04/14/2022","98.29","96.68","98.63","95.24","49.84K","1.27%"
"04/13/2022","97.06","94.60","97.18","93.94","65.87K","2.58%"
"04/12/2022","94.62","91.54","94.91","91.19","71.12K","4.46%"
"04/11/2022","90.58","93.13","93.16","89.00","70.36K","-2.59%"
"04/08/2022","92.99","91.52","93.10","90.29","44.90K","1.97%"
"04/07/2022","91.19","91.50","92.31","89.26","73.86K","0.91%"
"04/06/2022","90.37","93.22","95.09","90.00","68.82K","-3.60%"
"04/05/2022","93.74","94.49","95.79","91.95","50.13K","-0.77%"
"04/04/2022","94.47","91.50","94.66","90.70","59.74K","3.44%"
"04/01/2022","91.33","90.85","91.83","88.70","66.89K","1.93%"
"03/31/2022","89.60","92.43","92.99","88.98","96.23K","-3.51%"
"03/30/2022","92.86","90.52","92.93","89.75","36.95K","3.55%"
"03/29/2022","89.68","88.09","91.12","85.35","66.90K","0.08%"
"03/28/2022","89.61","93.50","93.50","87.12","52.04K","-5.50%"
"03/25/2022","94.83","92.83","95.02","90.79","46.08K","1.44%"
"03/24/2022","93.48","95.16","96.85","92.47","41.02K","-2.34%"
"03/23/2022","95.72","92.45","95.91","92.16","53.90K","3.27%"
"03/22/2022","92.69","93.57","94.82","91.45","45.61K","-0.60%"
"03/21/2022","93.25","89.12","93.57","89.08","41.92K","4.54%"
"03/18/2022","89.20","88.30","90.24","87.61","31.68K","1.23%"
"03/17/2022","88.12","82.65","88.88","82.46","54.20K","6.55%"
"03/16/2022","82.70","83.50","86.38","82.23","48.28K","-1.70%"
"03/15/2022","84.13","86.94","86.98","82.09","84.31K","-3.03%"
"03/14/2022","86.76","90.25","90.76","85.69","64.33K","-3.85%"
"03/11/2022","90.23","87.67","90.38","85.64","57.97K","3.94%"
"03/10/2022","86.81","88.20","90.58","85.19","86.58K","0.74%"
"03/09/2022","86.17","97.99","99.07","80.80","126.78K","-10.95%"
"03/08/2022","96.77","96.32","100.75","93.97","110.15K","0.51%"
"03/07/2022","96.28","95.51","104.80","92.52","92.22K","1.97%"
"03/04/2022","94.42","88.22","94.69","88.22","110.57K","7.72%"
"03/03/2022","87.65","87.00","89.68","85.71","117.42K","0.39%"
"03/02/2022","87.31","85.50","88.00","84.10","151.29K","4.34%"
"03/01/2022","83.68","82.35","85.44","82.20","198.45K","1.75%"
"02/28/2022","82.24","83.00","85.95","81.92","95.09K","1.49%"
"02/25/2022","81.03","82.04","83.74","80.28","76.36K","-0.80%"
"02/24/2022","81.68","83.10","88.06","80.63","169.61K","-1.39%"
"02/23/2022","82.83","81.97","83.94","81.62","61.35K","0.88%"
"02/22/2022","82.11","81.45","84.16","79.98","77.56K","-11.38%"
"02/21/2022","92.65","91.62","93.91","89.08","","1.12%"
"02/20/2022","91.62","91.22","91.74","91.08","","13.48%"
"02/18/2022","80.74","79.94","81.24","78.40","64.13K","0.96%"
"02/17/2022","79.97","79.43","80.86","78.85","60.62K","-1.05%"
"02/16/2022","80.82","80.07","81.35","78.67","84.27K","1.14%"
"02/15/2022","79.91","82.04","82.29","79.14","72.63K","-3.37%"
"02/14/2022","82.70","82.00","83.03","81.00","65.91K","0.95%"
"02/11/2022","81.92","80.44","82.64","79.65","98.50K","1.76%"
"02/10/2022","80.50","80.67","81.72","80.06","59.59K","-0.14%"
"02/09/2022","80.61","79.98","81.06","79.11","58.57K","1.23%"
"02/08/2022","79.63","81.08","81.26","79.10","52.62K","-1.75%"
"02/07/2022","81.05","80.69","81.88","80.59","47.41K","0.01%"
"02/04/2022","81.04","79.51","81.35","79.47","60.07K","1.43%"
"02/03/2022","79.90","78.53","79.99","77.54","58.16K","1.62%"
"02/02/2022","78.63","78.35","79.41","77.81","59.29K","0.56%"
"02/01/2022","78.19","78.38","78.73","77.04","40.06K","-0.14%"
"01/31/2022","78.30","78.35","78.65","77.43","45.86K","0.72%"
"01/28/2022","77.74","78.50","79.17","77.46","55.41K","-0.06%"
"01/27/2022","77.79","78.32","79.20","77.49","51.59K","-0.80%"
"01/26/2022","78.42","77.15","78.93","76.96","56.68K","1.42%"
"01/25/2022","77.32","76.85","77.52","75.93","59.34K","1.63%"
"01/24/2022","76.08","77.30","78.28","74.94","44.21K","-1.79%"
"01/21/2022","77.47","77.08","77.77","75.71","50.89K","-0.72%"
"01/20/2022","78.03","76.96","78.65","76.69","55.81K","0.59%"
"01/19/2022","77.57","77.64","78.14","76.88","56.97K","0.70%"
"01/18/2022","77.03","76.12","77.72","75.48","65.81K","-7.96%"
"01/17/2022","83.69","83.84","83.95","82.94","","-0.17%"
"01/16/2022","83.83","83.78","84.09","83.68","","10.54%"
"01/14/2022","75.84","74.57","76.13","74.46","58.36K","1.40%"
"01/13/2022","74.79","75.08","75.28","74.21","39.99K","-0.16%"
"01/12/2022","74.91","74.21","75.30","73.99","60.31K","0.89%"
"01/11/2022","74.25","72.17","74.42","72.06","63.13K","3.11%"
"01/10/2022","72.01","72.78","73.22","71.74","30.20K","-0.89%"
"01/07/2022","72.66","72.99","73.70","72.43","38.64K","-0.42%"
"01/06/2022","72.97","71.37","73.38","71.07","60.11K","1.02%"
"01/05/2022","72.23","72.17","72.76","71.44","55.79K","0.17%"
"01/04/2022","72.11","71.10","72.43","70.85","40.33K","1.41%"
"01/03/2022","71.11","70.17","71.34","69.35","22.15K","1.83%"
"12/31/2021","69.83","70.90","71.46","69.78","22.07K","-2.25%"
"12/30/2021","71.44","71.03","71.81","70.48","14.20K","0.49%"
"12/29/2021","71.09","70.60","71.67","70.02","21.37K","0.91%"
"12/28/2021","70.45","70.25","71.16","69.97","21.17K","0.50%"
"12/27/2021","70.10","68.11","70.56","67.49","20.81K","2.28%"
"12/23/2021","68.54","67.86","68.73","67.16","26.78K","1.29%"
"12/22/2021","67.67","66.97","67.90","66.42","27.39K","1.00%"
"12/21/2021","67.00","65.57","67.22","64.97","26.27K","3.12%"
"12/20/2021","64.97","65.73","65.73","63.14","41.91K","-2.21%"
"12/17/2021","66.44","67.65","67.86","65.79","36.32K","-2.29%"
"12/16/2021","68.00","67.72","68.49","67.30","34.40K","1.07%"
"12/15/2021","67.28","67.34","67.88","66.27","38.39K","-0.34%"
"12/14/2021","67.51","67.86","68.50","66.54","37.16K","-0.66%"
"12/13/2021","67.96","68.67","69.37","67.76","30.17K","-0.44%"
"12/10/2021","68.26","67.35","68.86","67.30","29.68K","0.62%"
"12/09/2021","67.84","68.95","69.48","67.28","34.58K","-1.67%"
"12/08/2021","68.99","68.08","69.10","67.56","42.63K","0.95%"
"12/07/2021","68.34","66.39","68.65","66.29","53.79K","3.25%"
"12/06/2021","66.19","64.27","66.74","64.23","47.76K","3.93%"
"12/03/2021","63.69","63.49","65.41","63.07","53.56K","0.41%"
"12/02/2021","63.43","62.56","64.00","60.20","81.55K","1.60%"
"12/01/2021","62.43","63.25","65.20","61.82","58.79K","-0.11%"
"11/30/2021","62.50","66.10","66.91","61.07","71.17K","-5.13%"
"11/29/2021","65.88","64.42","67.84","64.42","53.12K","2.97%"
"11/26/2021","63.98","71.96","72.26","63.48","94.68K","-17.35%"
"11/25/2021","77.41","78.38","78.65","77.28","","7.72%"
"11/24/2021","71.86","71.82","72.34","71.34","27.41K","-0.24%"
"11/23/2021","72.03","70.02","72.22","69.36","57.61K","2.58%"
"11/22/2021","70.22","68.86","70.29","68.25","34.29K","1.64%"
"11/19/2021","69.09","70.65","71.51","68.70","47.61K","-2.44%"
"11/18/2021","70.82","69.99","70.92","69.22","36.12K","1.42%"
"11/17/2021","69.83","71.00","71.10","69.39","52.18K","-1.80%"
"11/16/2021","71.11","71.01","71.81","70.75","23.31K","0.20%"
"11/15/2021","70.97","71.06","71.23","70.13","24.36K","0.01%"
"11/12/2021","70.96","71.46","71.63","70.23","29.72K","-0.87%"
"11/11/2021","71.58","71.60","71.92","70.71","29.81K","0.35%"
"11/10/2021","71.33","73.08","73.27","71.05","41.35K","-2.21%"
"11/09/2021","72.94","72.50","73.08","72.23","40.08K","0.73%"
"11/08/2021","72.41","71.90","72.72","71.82","29.40K","0.65%"
"11/05/2021","71.94","70.21","72.15","69.69","76.52K","2.90%"
"11/04/2021","69.91","69.84","72.09","69.53","94.11K","-0.30%"
"11/03/2021","70.12","71.54","71.66","69.38","58.98K","-2.58%"
"11/02/2021","71.98","71.62","72.14","71.28","26.14K","0.19%"
"11/01/2021","71.84","71.40","72.10","70.77","32.64K","0.71%"
"10/29/2021","71.33","71.79","72.24","70.88","33.68K","-0.50%"
"10/28/2021","71.69","71.75","72.02","70.03","41.52K","-0.24%"
"10/27/2021","71.86","72.82","72.91","71.53","40.94K","-1.64%"
"10/26/2021","73.06","72.76","73.25","72.41","44.89K","0.47%"
"10/25/2021","72.72","72.30","73.06","72.05","67.95K","0.92%"